From	To	Species	Gene Name
P35637	ENSG00000089280	Homo sapiens	FUS RNA binding protein(FUS)
Q9ULH0	ENSG00000134313	Homo sapiens	kinase D interacting substrate 220(KIDINS220)
A6NCS6	ENSG00000204128	Homo sapiens	chromosome 2 open reading frame 72(C2orf72)
Q9ULH1	ENSG00000153317	Homo sapiens	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1(ASAP1)
Q9ULH7	ENSG00000186260	Homo sapiens	myocardin related transcription factor B(MRTFB)
P58317	ENSG00000197961	Homo sapiens	zinc finger protein 121(ZNF121)
Q9NY61	ENSG00000275700	Homo sapiens	apoptosis antagonizing transcription factor(AATF)
Q9NY61	ENSG00000276072	Homo sapiens	apoptosis antagonizing transcription factor(AATF)
Q96AJ1	ENSG00000103351	Homo sapiens	clusterin associated protein 1(CLUAP1)
Q9NXU5	ENSG00000185305	Homo sapiens	ADP ribosylation factor like GTPase 15(ARL15)
Q96RK4	ENSG00000140463	Homo sapiens	Bardet-Biedl syndrome 4(BBS4)
P61962	ENSG00000136485	Homo sapiens	DDB1 and CUL4 associated factor 7(DCAF7)
P61960	ENSG00000120686	Homo sapiens	ubiquitin fold modifier 1(UFM1)
Q96RK0	ENSG00000079432	Homo sapiens	capicua transcriptional repressor(CIC)
P61966	ENSG00000106367	Homo sapiens	adaptor related protein complex 1 subunit sigma 1(AP1S1)
P22314	ENSG00000130985	Homo sapiens	ubiquitin like modifier activating enzyme 1(UBA1)
Q8WY22	ENSG00000184992	Homo sapiens	BRI3 binding protein(BRI3BP)
P61964	ENSG00000196363	Homo sapiens	WD repeat domain 5(WDR5)
P36959	ENSG00000137198	Homo sapiens	guanosine monophosphate reductase(GMPR)
Q9Y6R4	ENSG00000085511	Homo sapiens	mitogen-activated protein kinase kinase kinase 4(MAP3K4)
P36957	ENSG00000119689	Homo sapiens	dihydrolipoamide S-succinyltransferase(DLST)
Q9BUM1	ENSG00000141349	Homo sapiens	glucose-6-phosphatase catalytic subunit 3(G6PC3)
Q9ULI0	ENSG00000119778	Homo sapiens	ATPase family AAA domain containing 2B(ATAD2B)
Q86Y37	ENSG00000151893	Homo sapiens	CDK2 associated cullin domain 1(CACUL1)
P36955	ENSG00000282307	Homo sapiens	serpin family F member 1(SERPINF1)
P36955	ENSG00000132386	Homo sapiens	serpin family F member 1(SERPINF1)
Q9NXV2	ENSG00000167977	Homo sapiens	potassium channel tetramerization domain containing 5(KCTD5)
P36954	ENSG00000105258	Homo sapiens	RNA polymerase II subunit I(POLR2I)
Q9H4Z3	ENSG00000100982	Homo sapiens	phosphorylated CTD interacting factor 1(PCIF1)
Q9NXV6	ENSG00000168564	Homo sapiens	CDKN2A interacting protein(CDKN2AIP)
Q9BUL9	ENSG00000178718	Homo sapiens	ribonuclease P and MRP subunit p25(RPP25)
P61970	ENSG00000102898	Homo sapiens	nuclear transport factor 2(NUTF2)
Q86Y39	ENSG00000174886	Homo sapiens	NADH:ubiquinone oxidoreductase subunit A11(NDUFA11)
O95905	ENSG00000122882	Homo sapiens	ecdysoneless cell cycle regulator(ECD)
P61978	ENSG00000165119	Homo sapiens	heterogeneous nuclear ribonucleoprotein K(HNRNPK)
Q9BUL8	ENSG00000114209	Homo sapiens	programmed cell death 10(PDCD10)
Q5JTD0	ENSG00000137221	Homo sapiens	tight junction associated protein 1(TJAP1)
Q9BUL5	ENSG00000040633	Homo sapiens	PHD finger protein 23(PHF23)
Q9BUT1	ENSG00000164039	Homo sapiens	3-hydroxybutyrate dehydrogenase 2(BDH2)
Q9BV57	ENSG00000182551	Homo sapiens	acireductone dioxygenase 1(ADI1)
Q9BV57	ENSG00000280830	Homo sapiens	acireductone dioxygenase 1(ADI1)
O75586	ENSG00000133997	Homo sapiens	mediator complex subunit 6(MED6)
Q9Y6K5	ENSG00000111331	Homo sapiens	2'-5'-oligoadenylate synthetase 3(OAS3)
Q2TAY7	ENSG00000122692	Homo sapiens	SMU1 DNA replication regulator and spliceosomal factor(SMU1)
O75582	ENSG00000100784	Homo sapiens	ribosomal protein S6 kinase A5(RPS6KA5)
P10398	ENSG00000078061	Homo sapiens	A-Raf proto-oncogene, serine/threonine kinase(ARAF)
Q9Y6K0	ENSG00000134255	Homo sapiens	choline/ethanolamine phosphotransferase 1(CEPT1)
Q96RQ1	ENSG00000087502	Homo sapiens	ERGIC and golgi 2(ERGIC2)
Q8WXW3	ENSG00000083535	Homo sapiens	progesterone immunomodulatory binding factor 1(PIBF1)
A0A0B4J2F0	ENSG00000225973	Homo sapiens	PIGB opposite strand 1(PIGBOS1)
Q96RQ3	ENSG00000078070	Homo sapiens	methylcrotonyl-CoA carboxylase subunit 1(MCCC1)
Q9Y6K9	ENSG00000269335	Homo sapiens	inhibitor of nuclear factor kappa B kinase regulatory subunit gamma(IKBKG)
P61916	ENSG00000119655	Homo sapiens	NPC intracellular cholesterol transporter 2(NPC2)
Q96B01	ENSG00000111247	Homo sapiens	RAD51 associated protein 1(RAD51AP1)
Q9BV40	ENSG00000118640	Homo sapiens	vesicle associated membrane protein 8(VAMP8)
Q86Y91	ENSG00000186185	Homo sapiens	kinesin family member 18B(KIF18B)
P22392	ENSG00000243678	Homo sapiens	NME/NM23 nucleoside diphosphate kinase 2(NME2)
Q9BV44	ENSG00000134077	Homo sapiens	THUMP domain containing 3(THUMPD3)
O75575	ENSG00000241258	Homo sapiens	CGRP receptor component(CRCP)
Q9ULC3	ENSG00000112210	Homo sapiens	RAB23, member RAS oncogene family(RAB23)
Q5JTJ3	ENSG00000168275	Homo sapiens	cytochrome c oxidase assembly factor 6(COA6)
Q9ULC4	ENSG00000232119	Homo sapiens	MCTS1 re-initiation and release factor(MCTS1)
Q9ULC4	ENSG00000288295	Homo sapiens	MCTS1 re-initiation and release factor(MCTS1)
Q9NY12	ENSG00000109534	Homo sapiens	GAR1 ribonucleoprotein(GAR1)
Q96RP9	ENSG00000168827	Homo sapiens	G elongation factor mitochondrial 1(GFM1)
O95926	ENSG00000117614	Homo sapiens	SYF2 pre-mRNA splicing factor(SYF2)
Q9BV38	ENSG00000065268	Homo sapiens	WD repeat domain 18(WDR18)
P61927	ENSG00000145592	Homo sapiens	ribosomal protein L37(RPL37)
Q86Y82	ENSG00000117758	Homo sapiens	syntaxin 12(STX12)
O75569	ENSG00000180228	Homo sapiens	protein activator of interferon induced protein kinase EIF2AK2(PRKRA)
Q9BUR5	ENSG00000184831	Homo sapiens	apolipoprotein O(APOO)
Q9BUR4	ENSG00000141499	Homo sapiens	WD repeat containing antisense to TP53(WRAP53)
Q9Y6M5	ENSG00000170385	Homo sapiens	solute carrier family 30 member 1(SLC30A1)
Q9Y6M4	ENSG00000151292	Homo sapiens	casein kinase 1 gamma 3(CSNK1G3)
Q9Y6M7	ENSG00000033867	Homo sapiens	solute carrier family 4 member 7(SLC4A7)
Q9Y6M1	ENSG00000073792	Homo sapiens	insulin like growth factor 2 mRNA binding protein 2(IGF2BP2)
Q9ULD4	ENSG00000096070	Homo sapiens	bromodomain and PHD finger containing 3(BRPF3)
Q9Y6M9	ENSG00000147684	Homo sapiens	NADH:ubiquinone oxidoreductase subunit B9(NDUFB9)
Q9ULD9	ENSG00000168916	Homo sapiens	zinc finger protein 608(ZNF608)
Q9NY27	ENSG00000163605	Homo sapiens	protein phosphatase 4 regulatory subunit 2(PPP4R2)
Q9BV29	ENSG00000128891	Homo sapiens	coiled-coil domain containing 32(CCDC32)
A0A0B4J2D5	ENSG00000280071	Homo sapiens	glutamine amidotransferase class 1 domain containing 3B(LOC102724023)
P08069	ENSG00000140443	Homo sapiens	insulin like growth factor 1 receptor(IGF1R)
Q9BUQ8	ENSG00000174243	Homo sapiens	DEAD-box helicase 23(DDX23)
P61923	ENSG00000111481	Homo sapiens	COPI coat complex subunit zeta 1(COPZ1)
Q6I9Y2	ENSG00000163634	Homo sapiens	THO complex subunit 7(THOC7)
Q9BV20	ENSG00000037757	Homo sapiens	methylthioribose-1-phosphate isomerase 1(MRI1)
P60604	ENSG00000184787	Homo sapiens	ubiquitin conjugating enzyme E2 G2(UBE2G2)
Q2TAZ0	ENSG00000110046	Homo sapiens	autophagy related 2A(ATG2A)
Q01780	ENSG00000171824	Homo sapiens	exosome component 10(EXOSC10)
Q9ULE0	ENSG00000047644	Homo sapiens	WWC family member 3(WWC3)
Q9Y6N5	ENSG00000137767	Homo sapiens	sulfide quinone oxidoreductase(SQOR)
O75554	ENSG00000120688	Homo sapiens	WW domain binding protein 4(WBP4)
Q9Y6N1	ENSG00000166260	Homo sapiens	cytochrome c oxidase copper chaperone COX11(COX11)
Q9NXR1	ENSG00000072864	Homo sapiens	nudE neurodevelopment protein 1(NDE1)
Q9NXR1	ENSG00000275911	Homo sapiens	nudE neurodevelopment protein 1(NDE1)
Q9NY33	ENSG00000254986	Homo sapiens	dipeptidyl peptidase 3(DPP3)
Q9ULE6	ENSG00000107719	Homo sapiens	phosphatase domain containing paladin 1(PALD1)
Q9NY35	ENSG00000080822	Homo sapiens	claudin domain containing 1(CLDND1)
Q9NXR7	ENSG00000158019	Homo sapiens	BRISC and BRCA1 A complex member 2(BABAM2)
Q9NXR8	ENSG00000071243	Homo sapiens	inhibitor of growth family member 3(ING3)
Q5JTH9	ENSG00000052749	Homo sapiens	ribosomal RNA processing 12 homolog(RRP12)
Q96RN5	ENSG00000099917	Homo sapiens	mediator complex subunit 15(MED15)
Q8WY54	ENSG00000175175	Homo sapiens	protein phosphatase, Mg2+/Mn2+ dependent 1E(PPM1E)
Q5VWJ9	ENSG00000148158	Homo sapiens	sorting nexin family member 30(SNX30)
Q9BV19	ENSG00000283580	Homo sapiens	chromosome 1 open reading frame 50(C1orf50)
Q9BV19	ENSG00000164008	Homo sapiens	chromosome 1 open reading frame 50(C1orf50)
Q96RE7	ENSG00000160877	Homo sapiens	nucleus accumbens associated 1(NACC1)
P12931	ENSG00000197122	Homo sapiens	SRC proto-oncogene, non-receptor tyrosine kinase(SRC)
Q7Z589	ENSG00000158636	Homo sapiens	EMSY transcriptional repressor, BRCA2 interacting(EMSY)
Q9Y6G9	ENSG00000144635	Homo sapiens	dynein cytoplasmic 1 light intermediate chain 1(DYNC1LI1)
A7E2V4	ENSG00000214655	Homo sapiens	zinc finger SWIM-type containing 8(ZSWIM8)
Q96AC1	ENSG00000073712	Homo sapiens	FERM domain containing kindlin 2(FERMT2)
Q9Y6G3	ENSG00000198015	Homo sapiens	mitochondrial ribosomal protein L42(MRPL42)
Q92572	ENSG00000177879	Homo sapiens	adaptor related protein complex 3 subunit sigma 1(AP3S1)
Q9Y6G5	ENSG00000145781	Homo sapiens	COMM domain containing 10(COMMD10)
Q92576	ENSG00000118482	Homo sapiens	PHD finger protein 3(PHF3)
Q92575	ENSG00000144224	Homo sapiens	UBX domain protein 4(UBXN4)
Q2TAM9	ENSG00000198680	Homo sapiens	tumor suppressor candidate 1(TUSC1)
Q3B726	ENSG00000105849	Homo sapiens	RNA polymerase I subunit F(POLR1F)
Q13765	ENSG00000196531	Homo sapiens	nascent polypeptide associated complex subunit alpha(NACA)
Q96RD7	ENSG00000110218	Homo sapiens	pannexin 1(PANX1)
Q13769	ENSG00000100296	Homo sapiens	THO complex subunit 5(THOC5)
O75533	ENSG00000115524	Homo sapiens	splicing factor 3b subunit 1(SF3B1)
O75534	ENSG00000009307	Homo sapiens	cold shock domain containing E1(CSDE1)
O75531	ENSG00000175334	Homo sapiens	BAF nuclear assembly factor 1(BANF1)
Q9Y6H1	ENSG00000106153	Homo sapiens	coiled-coil-helix-coiled-coil-helix domain containing 2(CHCHD2)
O75530	ENSG00000074266	Homo sapiens	embryonic ectoderm development(EED)
Q9H553	ENSG00000119523	Homo sapiens	ALG2 alpha-1,3/1,6-mannosyltransferase(ALG2)
Q9BUF5	ENSG00000176014	Homo sapiens	tubulin beta 6 class V(TUBB6)
P24928	ENSG00000181222	Homo sapiens	RNA polymerase II subunit A(POLR2A)
Q96AB3	ENSG00000063241	Homo sapiens	isochorismatase domain containing 2(ISOC2)
Q7Z4W1	ENSG00000169738	Homo sapiens	dicarbonyl and L-xylulose reductase(DCXR)
Q86XL3	ENSG00000176915	Homo sapiens	ankyrin repeat and LEM domain containing 2(ANKLE2)
Q2TAL8	ENSG00000198218	Homo sapiens	glutamine rich 1(QRICH1)
Q92564	ENSG00000109184	Homo sapiens	defective in cullin neddylation 1 domain containing 4(DCUN1D4)
Q05D32	ENSG00000137770	Homo sapiens	CTD small phosphatase like 2(CTDSPL2)
O75528	ENSG00000171148	Homo sapiens	transcriptional adaptor 3(TADA3)
O75529	ENSG00000135801	Homo sapiens	TATA-box binding protein associated factor 5 like(TAF5L)
O75526	ENSG00000170748	Homo sapiens	RBMX like 2(RBMXL2)
O75525	ENSG00000131773	Homo sapiens	KH RNA binding domain containing, signal transduction associated 3(KHDRBS3)
O75521	ENSG00000198721	Homo sapiens	enoyl-CoA delta isomerase 2(ECI2)
Q9Y6I3	ENSG00000063245	Homo sapiens	epsin 1(EPN1)
Q7Z569	ENSG00000089234	Homo sapiens	BRCA1 associated protein(BRAP)
Q8WXI9	ENSG00000261992	Homo sapiens	GATA zinc finger domain containing 2B(GATAD2B)
Q8WXI9	ENSG00000143614	Homo sapiens	GATA zinc finger domain containing 2B(GATAD2B)
Q9Y6I9	ENSG00000164081	Homo sapiens	testis expressed 264, ER-phagy receptor(TEX264)
Q96AA3	ENSG00000163933	Homo sapiens	RFT1 homolog(RFT1)
Q9Y6I4	ENSG00000140455	Homo sapiens	ubiquitin specific peptidase 3(USP3)
Q7Z4V5	ENSG00000167674	Homo sapiens	HDGF like 2(HDGFL2)
P00966	ENSG00000130707	Homo sapiens	argininosuccinate synthase 1(ASS1)
Q9BUE6	ENSG00000135070	Homo sapiens	iron-sulfur cluster assembly 1(ISCA1)
Q92552	ENSG00000113048	Homo sapiens	mitochondrial ribosomal protein S27(MRPS27)
Q6UN15	ENSG00000145216	Homo sapiens	factor interacting with PAPOLA and CPSF1(FIP1L1)
Q9BUE0	ENSG00000284944	Homo sapiens	mediator complex subunit 18(MED18)
Q9BUE0	ENSG00000130772	Homo sapiens	mediator complex subunit 18(MED18)
Q92558	ENSG00000112290	Homo sapiens	WASP family member 1(WASF1)
O95985	ENSG00000100038	Homo sapiens	DNA topoisomerase III beta(TOP3B)
O95983	ENSG00000141096	Homo sapiens	dipeptidase 3(DPEP3)
O95983	ENSG00000071655	Homo sapiens	methyl-CpG binding domain protein 3(MBD3)
O95989	ENSG00000272325	Homo sapiens	nudix hydrolase 3(NUDT3)
Q8WXH0	ENSG00000054654	Homo sapiens	spectrin repeat containing nuclear envelope protein 2(SYNE2)
Q2VY69	ENSG00000186026	Homo sapiens	zinc finger protein 284(ZNF284)
A3KN83	ENSG00000139697	Homo sapiens	strawberry notch homolog 1(SBNO1)
Q07960	ENSG00000175220	Homo sapiens	Rho GTPase activating protein 1(ARHGAP1)
Q9ULA0	ENSG00000123992	Homo sapiens	aspartyl aminopeptidase(DNPEP)
Q5JSZ5	ENSG00000288701	Homo sapiens	proline rich coiled-coil 2B(PRRC2B)
Q9Y6J9	ENSG00000162227	Homo sapiens	TATA-box binding protein associated factor 6 like(TAF6L)
Q92540	ENSG00000116698	Homo sapiens	SMG7 nonsense mediated mRNA decay factor(SMG7)
Q07954	ENSG00000123384	Homo sapiens	LDL receptor related protein 1(LRP1)
Q07955	ENSG00000136450	Homo sapiens	serine and arginine rich splicing factor 1(SRSF1)
Q9NXN4	ENSG00000196505	Homo sapiens	ganglioside induced differentiation associated protein 2(GDAP2)
Q92544	ENSG00000101337	Homo sapiens	transmembrane 9 superfamily member 4(TM9SF4)
Q92542	ENSG00000162736	Homo sapiens	nicastrin(NCSTN)
Q92541	ENSG00000137815	Homo sapiens	RTF1 homolog, Paf1/RNA polymerase II complex component(RTF1)
Q13794	ENSG00000141682	Homo sapiens	phorbol-12-myristate-13-acetate-induced protein 1(PMAIP1)
Q92547	ENSG00000163781	Homo sapiens	DNA topoisomerase II binding protein 1(TOPBP1)
Q13796	ENSG00000146950	Homo sapiens	shroom family member 2(SHROOM2)
Q9NXF7	ENSG00000163257	Homo sapiens	DDB1 and CUL4 associated factor 16(DCAF16)
Q13795	ENSG00000101246	Homo sapiens	ADP ribosylation factor related protein 1(ARFRP1)
O14593	ENSG00000064490	Homo sapiens	regulatory factor X associated ankyrin containing protein(RFXANK)
O75503	ENSG00000102805	Homo sapiens	CLN5 intracellular trafficking protein(CLN5)
O95999	ENSG00000142867	Homo sapiens	BCL10 immune signaling adaptor(BCL10)
O95997	ENSG00000164611	Homo sapiens	PTTG1 regulator of sister chromatid separation, securin(PTTG1)
P35610	ENSG00000057252	Homo sapiens	sterol O-acyltransferase 1(SOAT1)
P35613	ENSG00000172270	Homo sapiens	basigin (Ok blood group)(BSG)
P35612	ENSG00000075340	Homo sapiens	adducin 2(ADD2)
P35611	ENSG00000087274	Homo sapiens	adducin 1(ADD1)
Q96AG4	ENSG00000108829	Homo sapiens	leucine rich repeat containing 59(LRRC59)
Q9UKY1	ENSG00000165156	Homo sapiens	zinc fingers and homeoboxes 1(ZHX1)
Q9BUK0	ENSG00000170791	Homo sapiens	coiled-coil-helix-coiled-coil-helix domain containing 7(CHCHD7)
Q9BUK6	ENSG00000125459	Homo sapiens	misato mitochondrial distribution and morphology regulator 1(MSTO1)
Q9NXG2	ENSG00000066654	Homo sapiens	THUMP domain containing 1(THUMPD1)
Q9Y6C9	ENSG00000285121	Homo sapiens	mitochondrial carrier 2(MTCH2)
Q9Y6C9	ENSG00000109919	Homo sapiens	mitochondrial carrier 2(MTCH2)
Q9UKY7	ENSG00000091527	Homo sapiens	CDV3 homolog(CDV3)
Q9NXG6	ENSG00000178467	Homo sapiens	prolyl 4-hydroxylase, transmembrane(P4HTM)
P35606	ENSG00000184432	Homo sapiens	COPI coat complex subunit beta 2(COPB2)
Q86XP3	ENSG00000198231	Homo sapiens	DEAD-box helicase 42(DDX42)
P10321	ENSG00000204525	Homo sapiens	major histocompatibility complex, class I, C(HLA-C)
P10321	ENSG00000206435	Homo sapiens	major histocompatibility complex, class I, C(HLA-C)
P10321	ENSG00000233841	Homo sapiens	major histocompatibility complex, class I, C(HLA-C)
P10321	ENSG00000206452	Homo sapiens	major histocompatibility complex, class I, C(HLA-C)
P10321	ENSG00000225691	Homo sapiens	major histocompatibility complex, class I, C(HLA-C)
P10321	ENSG00000237022	Homo sapiens	major histocompatibility complex, class I, C(HLA-C)
P10321	ENSG00000228299	Homo sapiens	major histocompatibility complex, class I, C(HLA-C)
P22307	ENSG00000116171	Homo sapiens	sterol carrier protein 2(SCP2)
Q9Y6D6	ENSG00000066777	Homo sapiens	ADP ribosylation factor guanine nucleotide exchange factor 1(ARFGEF1)
Q9Y6D5	ENSG00000124198	Homo sapiens	ADP ribosylation factor guanine nucleotide exchange factor 2(ARFGEF2)
Q9UKZ1	ENSG00000158435	Homo sapiens	CCR4-NOT transcription complex subunit 11(CNOT11)
Q9BUJ2	ENSG00000105323	Homo sapiens	heterogeneous nuclear ribonucleoprotein U like 1(HNRNPUL1)
P23634	ENSG00000058668	Homo sapiens	ATPase plasma membrane Ca2+ transporting 4(ATP2B4)
Q06609	ENSG00000051180	Homo sapiens	RAD51 recombinase(RAD51)
Q9Y6D9	ENSG00000002822	Homo sapiens	mitotic arrest deficient 1 like 1(MAD1L1)
Q9NXH9	ENSG00000104907	Homo sapiens	tRNA methyltransferase 1(TRMT1)
P12956	ENSG00000196419	Homo sapiens	X-ray repair cross complementing 6(XRCC6)
P12955	ENSG00000124299	Homo sapiens	peptidase D(PEPD)
P54792	ENSG00000107404	Homo sapiens	dishevelled segment polarity protein 1(DVL1)
Q9H583	ENSG00000119285	Homo sapiens	HEAT repeat containing 1(HEATR1)
Q96AE7	ENSG00000052841	Homo sapiens	tetratricopeptide repeat domain 17(TTC17)
Q9Y6E0	ENSG00000102572	Homo sapiens	serine/threonine kinase 24(STK24)
Q86Y07	ENSG00000028116	Homo sapiens	VRK serine/threonine kinase 2(VRK2)
Q96AE4	ENSG00000162613	Homo sapiens	far upstream element binding protein 1(FUBP1)
Q9Y6E2	ENSG00000136261	Homo sapiens	basic leucine zipper and W2 domains 2(BZW2)
Q92599	ENSG00000164402	Homo sapiens	septin 8(SEPTIN8)
Q92598	ENSG00000120694	Homo sapiens	heat shock protein family H (Hsp110) member 1(HSPH1)
Q96RG2	ENSG00000115687	Homo sapiens	PAS domain containing serine/threonine kinase(PASK)
Q92597	ENSG00000104419	Homo sapiens	N-myc downstream regulated 1(NDRG1)
Q9BUI4	ENSG00000186141	Homo sapiens	RNA polymerase III subunit C(POLR3C)
P36915	ENSG00000229470	Homo sapiens	G protein nucleolar 1 (putative)(GNL1)
P36915	ENSG00000206412	Homo sapiens	G protein nucleolar 1 (putative)(GNL1)
P36915	ENSG00000235986	Homo sapiens	G protein nucleolar 1 (putative)(GNL1)
P36915	ENSG00000228581	Homo sapiens	G protein nucleolar 1 (putative)(GNL1)
P36915	ENSG00000204590	Homo sapiens	G protein nucleolar 1 (putative)(GNL1)
P36915	ENSG00000232143	Homo sapiens	G protein nucleolar 1 (putative)(GNL1)
P36915	ENSG00000226882	Homo sapiens	G protein nucleolar 1 (putative)(GNL1)
P36915	ENSG00000206492	Homo sapiens	G protein nucleolar 1 (putative)(GNL1)
Q9BUH6	ENSG00000148362	Homo sapiens	PAXX non-homologous end joining factor(PAXX)
Q92581	ENSG00000198689	Homo sapiens	solute carrier family 9 member A6(SLC9A6)
P24941	ENSG00000123374	Homo sapiens	cyclin dependent kinase 2(CDK2)
P23610	ENSG00000288722	Homo sapiens	coagulation factor VIII associated 1(F8A1)
P23610	ENSG00000277150	Homo sapiens	coagulation factor VIII associated 3(F8A3)
P23610	ENSG00000288709	Homo sapiens	coagulation factor VIII associated 2(F8A2)
Q96RF0	ENSG00000178996	Homo sapiens	sorting nexin 18(SNX18)
Q7KZF4	ENSG00000197157	Homo sapiens	staphylococcal nuclease and tudor domain containing 1(SND1)
Q9H3K6	ENSG00000169627	Homo sapiens	bolA family member 2B(BOLA2B)
Q9H3K6	ENSG00000261740	Homo sapiens	bolA family member 2(BOLA2)
Q9H3K6	ENSG00000183336	Homo sapiens	bolA family member 2(BOLA2)
O14672	ENSG00000137845	Homo sapiens	ADAM metallopeptidase domain 10(ADAM10)
Q9H3K2	ENSG00000165678	Homo sapiens	growth hormone inducible transmembrane protein(GHITM)
Q5VV42	ENSG00000145996	Homo sapiens	CDK5 regulatory subunit associated protein 1 like 1(CDKAL1)
Q5VV41	ENSG00000130762	Homo sapiens	Rho guanine nucleotide exchange factor 16(ARHGEF16)
Q96PZ0	ENSG00000091127	Homo sapiens	pseudouridine synthase 7(PUS7)
A5YKK6	ENSG00000125107	Homo sapiens	CCR4-NOT transcription complex subunit 1(CNOT1)
P15374	ENSG00000118939	Homo sapiens	ubiquitin C-terminal hydrolase L3(UCHL3)
Q9UK41	ENSG00000160948	Homo sapiens	VPS28 subunit of ESCRT-I(VPS28)
Q9UK41	ENSG00000285339	Homo sapiens	VPS28 subunit of ESCRT-I(VPS28)
O14662	ENSG00000124222	Homo sapiens	syntaxin 16(STX16)
Q9UJS0	ENSG00000004864	Homo sapiens	solute carrier family 25 member 13(SLC25A13)
Q9UK45	ENSG00000130332	Homo sapiens	LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated(LSM7)
P27348	ENSG00000134308	Homo sapiens	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta(YWHAQ)
Q86WC4	ENSG00000081087	Homo sapiens	osteoclastogenesis associated transmembrane protein 1(OSTM1)
Q9H3J6	ENSG00000130921	Homo sapiens	mitochondrial translation release factor in rescue(MTRFR)
P02042	ENSG00000223609	Homo sapiens	hemoglobin subunit delta(HBD)
O14681	ENSG00000149547	Homo sapiens	EI24 autophagy associated transmembrane protein(EI24)
O14683	ENSG00000175274	Homo sapiens	tumor protein p53 inducible protein 11(TP53I11)
P27361	ENSG00000102882	Homo sapiens	mitogen-activated protein kinase 3(MAPK3)
Q5VV52	ENSG00000164011	Homo sapiens	zinc finger protein 691(ZNF691)
Q96PY5	ENSG00000157827	Homo sapiens	formin like 2(FMNL2)
Q86WB0	ENSG00000091732	Homo sapiens	zinc finger C3HC-type containing 1(ZC3HC1)
Q5JS37	ENSG00000188811	Homo sapiens	NHL repeat containing 3(NHLRC3)
O14678	ENSG00000119688	Homo sapiens	ATP binding cassette subfamily D member 4(ABCD4)
Q9UK53	ENSG00000153487	Homo sapiens	inhibitor of growth family member 1(ING1)
Q52LJ0	ENSG00000171262	Homo sapiens	family with sequence similarity 98 member B(FAM98B)
Q06481	ENSG00000084234	Homo sapiens	amyloid beta precursor like protein 2(APLP2)
Q9UK59	ENSG00000138231	Homo sapiens	debranching RNA lariats 1(DBR1)
