id,name,Abbreviation,EC Number,SUBSYSTEM,Description,Equation,Lower Bound,Upper Bound,μmol/min/gDW,Recon2,Recon2 Formula,KEGG,Gene symbol,Ensembl,HGNC,Gene Name,RNAseq Expression (FPKM),Immunohistochemisty,In list?,Score
R_1PPDCRc_NADPH_MitoCore,pyrroline-2-carboxylate reductase,1PPDCRc_NADPH_MitoCore,1.5.1.1 or 1.5.1.21,Lysine degradation (L-pipecolate pathway),delta1-Piperideine-2-carboxylate + NADPH + H+ --> L-Pipecolate + NADP+,M_h_c + M_1pipdn2c_c + M_nadph_c --> M_Lpipecol_c + M_nadp_c,0.0,1000.0,0.0,,,R02203,Unknown,Unknown,Unknown,Unknown,,,,
R_LPCOXc_MitoCore,L-pipecolate oxidase,LPCOXc_MitoCore,1.5.3.7,Lysine degradation (L-pipecolate pathway),"L-Pipecolate + Oxygen --> (S)-2,3,4,5-Tetrahydropyridine-2-carboxylate + Hydrogen peroxide",M_o2_c + M_Lpipecol_c --> M_h2o2_c + M_h_c + M_thp2c_c,0.0,1000.0,0.0,LPCOXp,o2[x] + Lpipecol[x] -> h2o2[x] + h[x] + thp2c[x],R02204,PIPOX,ENSG00000179761,HGNC:17804,pipecolic acid oxidase,Not detected,Medium,False,1.4709
R_RE1254C,lysine 6-dehydrogenase,RE1254C,1.4.1.18,Lysine degradation (L-pipecolate pathway),"(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate + H2O --> L-2-Aminoadipate 6-semialdehyde",M_h2o_c + M_h_c + M_thp2c_c --> M_L2aadp6sa_c,-1000.0,1000.0,0.0,RE1254C,h2o[c] + h[c] + thp2c[c] --> L2aadp6sa[c],R02317,Unknown,Unknown,Unknown,Unknown,,,,
R_r0594,L-aminoadipate-semialdehyde dehydrogenase,r0594,1.2.1.31,Lysine degradation (L-pipecolate pathway),L-2-Aminoadipate6-semialdehyde+NAD++H2O-->L-2-Aminoadipate+NADH+H+,M_h2o_c + M_nad_c + M_L2aadp6sa_c --> 2.0 M_h_c + M_nadh_c + M_L2aadp_c,0.0,1000.0,0.0,r0594,h2o[c] + nad[c] + L2aadp6sa[c] -> 2.0 h[c] + nadh[c] + L2aadp[c],R03102,ALDH7A1,ENSG00000164904,HGNC:877,"aldehyde dehydrogenase 7 family, member A1",Medium,Low,True,13.8432
R_2AMADPTmB_MitoCore,,2AMADPTmB_MitoCore,,Lysine degradation (L-pipecolate pathway),Oxodicarboxylate carrier (ODC) - L-aminoadipate (in) for oxoglutarate (out),M_akg_m + M_L2aadp_c + 0.82 M_PMF_c --> M_akg_c + M_L2aadp_m + 0.82 M_PMF_m,0.0,1000.0,0.0,2AMADPTm,L2aadp[c] + akg[m] -> L2aadp[m] + akg[c],,SLC25A21,ENSG00000183032,HGNC:14411,2-oxoadipate shuttle (cytosol/mitochondria),Low,Not detected,True,16.6691
R_2AMADPTmC_MitoCore,,2AMADPTmC_MitoCore,,Lysine degradation (L-pipecolate pathway),Oxodicarboxylate carrier (ODC) reverse - L-aminoadipate (out) for oxoglutarate (in),M_akg_c + M_L2aadp_m + M_h_c + 0.18 M_PMF_c --> M_akg_m + M_L2aadp_c + M_h_m + 0.18 M_PMF_m,0.0,1000.0,0.0,2AMADPTm,L2aadp[c] + akg[m] -> L2aadp[m] + akg[c],,SLC25A21,ENSG00000183032,HGNC:14411,2-oxoadipate shuttle (cytosol/mitochondria),Low,Not detected,True,16.6691
R_PROD2mB_MitoCore,proline dehydrogenase,PROD2mB_MitoCore,1.5.5.2,Proline degradation,Proline + Q --> (S)-1-Pyrroline-5-carboxylate + QH2,M_q10_m + M_pro_L_m --> M_h_m + M_q10h2_m + M_1pyr5c_m,0.0,1000.0,0.004,PROD2m,fad[m] + pro_L[m] -> h[m] + fadh2[m] + 1pyr5c[m],R01253,PRODH,ENSG00000100033,HGNC:9453,Proline dehydrogenase 1,Low,Medium,True,24.4195
R_G5SADrm,Non-Enzymatic,G5SADrm,Non-Enzymatic,Proline degradation/synthesis,L-Glutamate 5-semialdehyde --> (S)-1-Pyrroline-5-carboxylate + H2O,M_glu5sa_m --> M_h2o_m + M_h_m + M_1pyr5c_m,-1000.0,1000.0,-0.004,G5SADrm,glu5sa[m] --> h2o[m] + h[m] + 1pyr5c[m],R03314,Non-Enzymatic,Non-Enzymatic,Non-Enzymatic,Non-Enzymatic,,,,
R_r0074,L-glutamate gamma-semialdehyde dehydrogenase,r0074,1.2.1.88,Proline / ornithine degradation,L-Glutamate 5-semialdehyde + NAD+ + H2O --> L-Glutamate + NADH + H+,M_h2o_m + M_nad_m + M_glu5sa_m --> 2.0 M_h_m + M_nadh_m + M_glu_L_m,0.0,1000.0,0.011,r0074,h2o[m] + nad[m] + glu5sa[m] --> 2.0 h[m] + nadh[m] + glu_L[m],R00245,ALDH4A1,ENSG00000159423,HGNC:406,"aldehyde dehydrogenase 4 family, member A1",Medium,Medium,True,25.5079
R_GLU5Km,glutamate 5-kinase,GLU5Km,2.7.2.11,Proline synthesis,ATP + L-Glutamate --> ADP + L-Glutamyl 5-phosphate,M_atp_m + M_glu_L_m --> M_adp_m + M_glu5p_m,0.0,1000.0,0.0,GLU5Km,atp[m] + glu_L[m] -> adp[m] + glu5p[m],R00239,ALDH18A1,ENSG00000059573,HGNC:9722,"aldehyde dehydrogenase 18 family, member A1",Low,Medium,True,14.6874
R_G5SDym,glutamate-5-semialdehyde dehydrogenase,G5SDym,1.2.1.41,Proline synthesis,L-Glutamyl 5-phosphate + NADPH + H+ --> L-Glutamate 5-semialdehyde + Orthophosphate + NADP+,M_h_m + M_nadph_m + M_glu5p_m --> M_nadp_m + M_pi_m + M_glu5sa_m,-1000.0,1000.0,0.0,G5SDym,h[m] + nadph[m] + glu5p[m] -> nadp[m] + pi[m] + glu5sa[m],R03313,ALDH18A1,ENSG00000059573,HGNC:9722,"aldehyde dehydrogenase 18 family, member A1",Low,Medium,True,14.6874
R_P5CRm,pyrroline-5-carboxylate reductase,P5CRm,1.5.1.2,Proline synthesis,(S)-1-Pyrroline-5-carboxylate + NADPH + H+ --> L-Proline + NADP+,2.0 M_h_m + M_nadph_m + M_1pyr5c_m --> M_nadp_m + M_pro_L_m,0.0,1000.0,0.0,P5CRm,2.0 h[m] + nadph[m] + 1pyr5c[m] -> nadp[m] + pro_L[m],R01251,PYCR1,ENSG00000183010,HGNC:9721,pyrroline-5-carboxylate reductase 1,Low,Medium,True,2.4163
R_P5CRxm,pyrroline-5-carboxylate reductase,P5CRxm,1.5.1.2,Proline synthesis,(S)-1-Pyrroline-5-carboxylate + NADH + H+ --> L-Proline + NAD+,2.0 M_h_m + M_nadh_m + M_1pyr5c_m --> M_nad_m + M_pro_L_m,0.0,1000.0,0.0,P5CRxm,2.0 h[m] + nadh[m] + 1pyr5c[m] -> nad[m] + pro_L[m],R01248,PYCR1,ENSG00000183010,HGNC:9721,pyrroline-5-carboxylate reductase 1,Low,Medium,True,2.4163
R_ORNTArm,ornithine aminotransferase,ORNTArm,2.6.1.13,Ornithine degradation,L-Ornithine + 2-Oxoglutarate --> L-Glutamate 5-semialdehyde + L-Glutamate,M_akg_m + M_orn_m --> M_glu_L_m + M_glu5sa_m,-1000.0,1000.0,0.007,ORNTArm,akg[m] + orn[m] --> glu_L[m] + glu5sa[m],R00667,OAT,ENSG00000065154,HGNC:8091,ornithine aminotransferase,Medium,Low,True,15.9076
R_ORNDC,ornithine decarboxylase,ORNDC,4.1.1.17,Ornithine degradation (cytosolic),L-Ornithine --> Putrescine + CO2,M_h_c + M_orn_c --> M_co2_c + M_ptrc_c,0.0,1000.0,0.0,ORNDC,h[c] + orn[c] -> co2[c] + ptrc[c],R00670,ODC1,ENSG00000115758,HGNC:8109,ornithine decarboxylase 1,Medium,Medium,False,1.3904
R_PTRCOX1,diamine oxidase,PTRCOX1,1.4.3.22,Ornithine degradation (cytosolic),Putrescine + Oxygen + H2O --> 4-Aminobutyraldehyde + Ammonia + Hydrogen peroxide,M_h2o_c + M_o2_c + M_ptrc_c --> M_h2o2_c + M_nh4_c + M_4abutn_c,0.0,1000.0,0.0,PTRCOX1,h2o[c] + o2[c] + ptrc[c] -> h2o2[c] + nh4[c] + 4abutn[c],R01151,AOC1,ENSG00000002726,HGNC:80,"amine oxidase, copper containing 1",Not detected,Low,False,-5.2802
R_r0464c_MitoCore,aldehyde dehydrogenase (NAD+),r0464c_MitoCore,1.2.1.3,Ornithine degradation (cytosolic),4-Aminobutyraldehyde + NADP+ + H2O --> 4-Aminobutanoate + NADPH + H+,M_h2o_c + M_nadp_c + M_4abutn_c --> 2.0 M_h_c + M_nadph_c + M_4abut_c,0.0,1000.0,0.0,r0464,h2o[m] + nadp[m] + 4abutn[m] -> 2.0 h[m] + nadph[m] + 4abut[m],R01986,ALDH7A1 or ALDH9A1,ENSG00000164904 or ENSG00000143149,HGNC:877 or HGNC:412,aldehyde dehydrogenase family,Medium or Medium,Low or Low,"TRUE, TRUE, TRUE, TRUE","17.6418, 10.116, 13.8432, 23.4278"
R_ABUTD,aldehyde dehydrogenase (NAD+),ABUTD,1.2.1.3,Ornithine degradation (cytosolic),4-Aminobutyraldehyde + NAD+ + H2O --> 4-Aminobutanoate + NADH + H+,M_h2o_c + M_nad_c + M_4abutn_c --> 2.0 M_h_c + M_nadh_c + M_4abut_c,0.0,1000.0,0.0,ABUTD,h2o[c] + nad[c] + 4abutn[c] -> 2.0 h[c] + nadh[c] + 4abut[c],R02549,ALDH7A1 or ALDH9A1,ENSG00000164904 or ENSG00000143149,HGNC:877 or HGNC:412,aldehyde dehydrogenase family,Medium or Medium,Low or Low,"TRUE, TRUE, TRUE, TRUE","17.6418, 10.116, 13.8432, 23.4278"
R_ARGDCm,arginine decarboxylase,ARGDCm,4.1.1.19,Arginine degradation,L-Arginine --> Agmatine + CO2,M_h_m + M_arg_L_m --> M_co2_m + M_agm_m,0.0,1000.0,0.0,ARGDCm,h[m] + arg_L[m] -> co2[m] + agm[m],R00566,AZIN2,ENSG00000142920,HGNC:29957,antizyme inhibitor 2,Low,Medium,False,-1.0247
R_AGMTm,agmatinase,AGMTm,3.5.3.11,Arginine degradation,Agmatine + H2O --> Putrescine + Urea,M_h2o_m + M_agm_m --> M_ptrc_m + M_urea_m,-1000.0,1000.0,0.0,AGMTm,h2o[m] + agm[m] -> ptrc[m] + urea[m],R01157,AGMAT,ENSG00000116771,HGNC:18407,agmatine ureohydrolase (agmatinase),Not detected,Not detected,True,4.986
R_PTRCAT1m_MitoCore,spermidine/spermine N1-acetyltransferase family member 2,PTRCAT1m_MitoCore,2.3.1.57,Arginine degradation,Acetyl-CoA + Putrescine --> CoA + N-Acetylputrescine,M_accoa_m + M_ptrc_m --> M_h_m + M_coa_m + M_aprut_m,0.0,1000.0,0.0,PTRCAT1,accoa[c] + ptrc[c] -> h[c] + coa[c] + aprut[c],R01154,SAT2,ENSG00000141504,HGNC:23160,spermidine/spermine N1-acetyltransferase family member 2,Medium,Not detected,False,-8.2811
R_APRTO2m_MitoCore,monoamine oxidase B,APRTO2m_MitoCore,1.4.3.4,Arginine degradation,N-Acetylputrescine + H2O + Oxygen --> N4-Acetylaminobutanal + Ammonia + Hydrogen peroxide,M_h2o_m + M_o2_m + M_aprut_m --> M_h2o2_m + M_nh4_m + M_n4abutn_m,0.0,1000.0,0.0,APRTO2,h2o[c] + o2[c] + aprut[c] -> h2o2[c] + nh4[c] + n4abutn[c],R04025,MAOB,ENSG00000069535,HGNC:6834,monoamine oxidase B,High,High,True,4.5081
R_NABTNOm,aldehyde dehydrogenase family,NABTNOm,1.2.1.3,Arginine degradation,N4-Acetylaminobutanal + NAD+ + H2O --> 4-Acetamidobutanoate + NADH + H+,M_h2o_m + M_nad_m + M_n4abutn_m --> 2.0 M_h_m + M_nadh_m + M_4aabutn_m,0.0,1000.0,0.0,NABTNOm,h2o[m] + nad[m] + n4abutn[m] -> 2.0 h[m] + nadh[m] + 4aabutn[m],R05050,ALDH1B1 or ALDH3A2 or ALDH7A1 or ALDH9A1,ENSG00000137124 or ENSG00000072210 or ENSG00000164904 or ENSG00000143149,HGNC:407 or HGNC:403 or HGNC:877 or HGNC:412,aldehyde dehydrogenase family,Low or Medium or Medium or Medium,High or Medium or Low or Low,"TRUE, TRUE, TRUE, TRUE","17.6418, 10.116, 13.8432, 23.4278"
R_4aabutn_MitoCore,Unknown,4aabutn_MitoCore,3.5.1.63,Arginine degradation,4-Acetamidobutanoate + H2O --> 4-Aminobutanoate + Acetate,M_h2o_m + M_4aabutn_m --> M_4abut_m + M_ac_m,0.0,1000.0,0.0,,,R01987,Unknown,Unknown,Unknown,Unknown,,,,
R_GLUDC,glutamate decarboxylase,GLUDC,4.1.1.15,GABA shunt,L-Glutamate --> 4-Aminobutanoate + CO2,M_h_c + M_glu_L_c --> M_co2_c + M_4abut_c,0.0,1000.0,0.0,GLUDC,h[c] + glu_L[c] -> co2[c] + 4abut[c],R00261,GAD2,ENSG00000136750,HGNC:4093,"glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa)",Not detected,Medium,False,-7.9301
R_4ABUTtm,4-aminobutanoate (GABA) mitochondrial transport via diffusion,4ABUTtm,,GABA shunt - transport,4-aminobutanoate (GABA) mitochondrial transport,M_4abut_c --> M_4abut_m,-1000.0,1000.0,0.0,4ABUTtm,4abut[c] --> 4abut[m],,Unknown,Unknown,Unknown,,,,,
R_ABTArm,4-aminobutyrate---2-oxoglutarate transaminase,ABTArm,2.6.1.19,GABA shunt,4-Aminobutanoate + 2-Oxoglutarate --> Succinate semialdehyde + L-Glutamate,M_akg_m + M_4abut_m --> M_glu_L_m + M_sucsal_m,-1000.0,1000.0,0.0,ABTArm,akg[m] + 4abut[m] --> glu_L[m] + sucsal[m],R01648,ABAT,ENSG00000183044,HGNC:23,4-aminobutyrate aminotransferase,Low,Not detected,True,10.6859
R_r0178,succinate-semialdehyde dehydrogenase (NAD+),r0178,1.2.1.24,GABA shunt,Succinate semialdehyde + NAD+ + H2O --> Succinate + NADH + H+,M_h2o_m + M_nad_m + M_sucsal_m --> 2.0 M_h_m + M_nadh_m + M_succ_m,0.0,1000.0,0.0,r0178,h2o[m] + nad[m] + sucsal[m] --> 2.0 h[m] + nadh[m] + succ[m],R00713,ALDH5A1,ENSG00000112294,HGNC:408,"aldehyde dehydrogenase 5 family, member A1",Low,Medium,True,10.6859
R_GLUDxm,glutamate dehydrogenase [NAD(P)+],GLUDxm,1.4.1.3,Glutamate degradation/synthesis,L-Glutamate + NAD+ + H2O --> 2-Oxoglutarate + NH3 + NADH + H+,M_h2o_m + M_nad_m + M_glu_L_m --> M_nh4_m + M_h_m + M_nadh_m + M_akg_m,0.0,1000.0,0.2773,GLUDxm,h2o[m] + nad[m] + glu_L[m] --> nh4[m] + h[m] + nadh[m] + akg[m],R00243,GLUD1 or GLUD2,ENSG00000148672 or ENSG00000182890,HGNC:4335 or HGNC:4336,glutamate dehydrogenase 1 or 2,Medium or Medium,Medium and Medium,"TRUE, FALSE","14.9838, 0.4661"
R_GLUDym,glutamate dehydrogenase [NAD(P)+],GLUDym,1.4.1.3,Glutamate degradation/synthesis,L-Glutamate + NADP+ + H2O --> 2-Oxoglutarate + NH3 + NADPH + H+,M_h2o_m + M_nadp_m + M_glu_L_m --> M_nh4_m + M_h_m + M_nadph_m + M_akg_m,0.0,1000.0,0.0167,GLUDym,h2o[m] + nadp[m] + glu_L[m] --> nh4[m] + h[m] + nadph[m] + akg[m],R00248,GLUD1 or GLUD2,ENSG00000148672 or ENSG00000182890,HGNC:4335 or HGNC:4336,glutamate dehydrogenase 1 or 2,Medium or Medium,Medium and Medium,"TRUE, FALSE","14.9838, 0.4661"
R_GLUDxi,glutamate dehydrogenase [NAD(P)+],GLUDxi,1.4.1.3,Glutamate degradation/synthesis - cytosolic,L-Glutamate + NAD+ + H2O --> 2-Oxoglutarate + NH3 + NADH + H+,M_h2o_c + M_nad_c + M_glu_L_c --> M_nh4_c + M_h_c + M_nadh_c + M_akg_c,0.0,1000.0,0.0,GLUDxi,h2o[c] + nad[c] + glu_L[c] -> nh4[c] + h[c] + nadh[c] + akg[c],R00243,GLUD1,ENSG00000148672,HGNC:4335,glutamate dehydrogenase 1,Medium,Medium,True,14.9838
R_GLUDy,glutamate dehydrogenase [NAD(P)+],GLUDy,1.4.1.3,Glutamate degradation/synthesis - cytosolic,L-Glutamate + NADP+ + H2O --> 2-Oxoglutarate + NH3 + NADPH + H+,M_h2o_c + M_nadp_c + M_glu_L_c --> M_nh4_c + M_h_c + M_nadph_c + M_akg_c,0.0,1000.0,0.0,GLUDy,h2o[c] + nadp[c] + glu_L[c] -> nh4[c] + h[c] + nadph[c] + akg[c],R00248,GLUD1,ENSG00000148672,HGNC:4335,glutamate dehydrogenase 1,Medium,Medium,True,14.9838
R_GLNS,glutamate---ammonia ligase,GLNS,6.3.1.2,Glutamine synthesis,ATP + L-Glutamate + NH3 --> ADP + Orthophosphate + L-Glutamine,M_nh4_c + M_atp_c + M_glu_L_c --> M_h_c + M_adp_c + M_pi_c + M_gln_L_c,0.0,1000.0,0.0,GLNS,nh4[c] + atp[c] + glu_L[c] -> h[c] + adp[c] + pi[c] + gln_L[c],R00253,GLUL,ENSG00000135821,HGNC:4341,Glutamine synthetase,High,Not detected,False,0.5237
R_GLUNm,glutaminase,GLUNm,3.5.1.2,Glutamine degradation,L-Glutamine + H2O --> L-Glutamate + NH3,M_h2o_m + M_gln_L_m --> M_nh4_m + M_glu_L_m,0.0,1000.0,0.0,GLUNm,h2o[m] + gln_L[m] -> nh4[m] + glu_L[m],R00256,GLS or GLS2,ENSG00000115419 or ENSG00000135423,HGNC:4331 or HGNC:29570,Glutaminase,Medium or Not detected,Medium or Medium,"TRUE, TRUE","20.9853, 13.0829"
R_GLUN_MitoCore,glutaminase,GLUN_MitoCore,3.5.1.2,Glutamine degradation - cytosolic,L-Glutamine + H2O --> L-Glutamate + NH3,M_h2o_c + M_gln_L_c --> M_nh4_c + M_glu_L_c,0.0,1000.0,0.0,,,R00256,GLS or CAD,ENSG00000115419 or ENSG00000084774,HGNC:4331 or HGNC:1424,Glutaminase or carbamoyl-phosphate synthetase 2,Medium or Low,Medium or Medium,"TRUE, FALSE","20.9853, 1.0616"
R_PGCD,phosphoglycerate dehydrogenase,PGCD,1.1.1.95,Serine and glycine biosynthesis,3-Phospho-D-glycerate + NAD+ --> 3-Phosphonooxypyruvate + NADH + H+,M_nad_c + M_3pg_c --> M_h_c + M_nadh_c + M_3php_c,-1000.0,1000.0,0.0,PGCD,nad[c] + 3pg[c] -> h[c] + nadh[c] + 3php[c],R01513,PHGDH,ENSG00000092621,HGNC:8923,phosphoglycerate dehydrogenase,Low,Low,False,-3.3441
R_PSERT,phosphoserine transaminase,PSERT,2.6.1.52,Serine and glycine biosynthesis,3-Phosphonooxypyruvate + L-Glutamate --> O-Phospho-L-serine + 2-Oxoglutarate,M_glu_L_c + M_3php_c --> M_akg_c + M_pser_L_c,-1000.0,1000.0,0.0,PSERT,glu_L[c] + 3php[c] -> akg[c] + pser_L[c],R04173,PSAT1,ENSG00000135069,HGNC:19129,phosphoserine aminotransferase 1,Low,Not detected,False,-4.0561
R_PSP_L,phosphoserine phosphatase,PSP_L,3.1.3.3,Serine and glycine biosynthesis,O-Phospho-L-serine + H2O --> L-Serine + Orthophosphate,M_h2o_c + M_pser_L_c --> M_pi_c + M_ser_L_c,0.0,1000.0,0.0,PSP_L,h2o[c] + pser_L[c] -> pi[c] + ser_L[c],R00582,PSPH,ENSG00000146733,HGNC:9577,phosphoserine phosphatase,Low,Low,False,-10.0112
R_GHMT2r,glycine hydroxymethyltransferase,GHMT2r,2.1.2.1,Serine and glycine biosynthesis,"Tetrahydrofolate + L-Serine --> 5,10-Methylenetetrahydrofolate + Glycine + H2O",M_thf_c + M_ser_L_c --> M_h2o_c + M_gly_c + M_mlthf_c,-1000.0,1000.0,0.043,GHMT2r,thf[c] + ser_L[c] --> h2o[c] + gly[c] + mlthf[c],R00945,SHMT1,ENSG00000176974,HGNC:10850,serine hydroxymethyltransferase 1 (soluble),Low,Not detected,True,6.2275
R_FOLR2,,FOLR2,1.5.1.3,Folate cytosolic,Folate + NADPH + H+ --> Dihydrofolate + NADP+,M_nadph_c + M_fol_c --> M_nadp_c + M_dhf_c,0.0,0.0,0.0,FOLR2,nadph[c] + fol[c] -> nadp[c] + dhf[c],R02236,DHFR,ENSG00000228716,HGNC:2861,dihydrofolate reductase,Low,Medium,False,0.8474
R_DHFR,,DHFR,1.5.1.3,Folate cytosolic,Dihydrofolate + NADPH + H+ --> Tetrahydrofolate + NADP+,M_h_c + M_nadph_c + M_dhf_c --> M_nadp_c + M_thf_c,0.0,0.0,0.0,DHFR,h[c] + nadph[c] + dhf[c] --> nadp[c] + thf[c],R00939,DHFR,ENSG00000228716,HGNC:2861,dihydrofolate reductase,Low,Medium,False,0.8474
R_MTHFD,methylenetetrahydrofolate dehydrogenase (NADP+),MTHFD,1.5.1.5,Folate cytosolic,"5,10-Methylenetetrahydrofolate + NADP+ --> 5,10-Methenyltetrahydrofolate + NADPH",M_nadp_c + M_mlthf_c --> M_nadph_c + M_methf_c,-1000.0,1000.0,0.043,MTHFD,nadp[c] + mlthf[c] --> nadph[c] + methf[c],R01220,MTHFD1,ENSG00000100714,HGNC:7432,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase",Medium,Low,True,5.7609
R_MTHFC,methenyltetrahydrofolate cyclohydrolase,MTHFC,3.5.4.9,Folate cytosolic,"5,10-Methenyltetrahydrofolate + H2O --> 10-Formyltetrahydrofolate + H+",M_h2o_c + M_methf_c --> M_10fthf_c + M_h_c,-1000.0,1000.0,0.053,MTHFC,h2o[c] + methf[c] --> 10fthf[c] + h[c],R01655,MTHFD1 or MTHFD2L,ENSG00000100714 or ENSG00000163738,HGNC:7432 or HGNC:31865,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase",Medium or Low,Low or High,"TRUE, TRUE","5.7609, 13.7285"
R_FTCD,formimidoyltransferase cyclodeaminase,FTCD,4.3.1.4,Folate cytosolic,"5-Formiminotetrahydrofolate + H+ --> 5,10-Methenyltetrahydrofolate + Ammonia",2.0 M_h_c + M_5forthf_c --> M_nh4_c + M_methf_c,-1000.0,1000.0,0.01,FTCD,2.0 h[c] + 5forthf[c] -> nh4[c] + methf[c],R02302,FTCD,ENSG00000160282,HGNC:3974,formimidoyltransferase cyclodeaminase,Not detected,Not detected,False,-10.6961
R_FTHFL,formate---tetrahydrofolate ligase,FTHFL,6.3.4.3,Folate cytosolic,Tetrahydrofolate + Formate + ATP --> ADP + Orthophosphate + 10-Formyltetrahydrofolate,M_atp_c + M_thf_c + M_for_c --> M_10fthf_c + M_adp_c + M_pi_c,0.0,1000.0,0.0,FTHFL,atp[c] + thf[c] + for[c] -> 10fthf[c] + adp[c] + pi[c],R00943,MTHFD1,ENSG00000100714,HGNC:7432,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase",Medium,Low,True,5.7609
R_FTHFDH,formyltetrahydrofolate dehydrogenase,FTHFDH,1.5.1.6,Folate cytosolic,10-Formyltetrahydrofolate + NADP+ + H2O --> Tetrahydrofolate + CO2 + NADPH + H+,M_10fthf_c + M_h2o_c + M_nadp_c --> M_h_c + M_nadph_c + M_co2_c + M_thf_c,0.0,1000.0,0.053,FTHFDH,10fthf[c] + h2o[c] + nadp[c] -> h[c] + nadph[c] + co2[c] + thf[c],R00941,ALDH1L1,ENSG00000144908,HGNC:3978,"aldehyde dehydrogenase 1 family, member L1",Low,Low,True,11.9576
R_r0060,L-serine ammonia-lyase,r0060,4.3.1.17 or 4.3.1.19,Serine degradation,L-Serine --> Pyruvate + Ammonia,M_ser_L_c --> M_nh4_c + M_pyr_c,0.0,1000.0,0.0,r0060,ser_L[c] -> nh4[c] + pyr[c],R00220,SDS or SRR or SDSL,ENSG00000135094 or ENSG00000167720 or ENSG00000139410,HGNC:10691 or HGNC:14398 or HGNC:30404,Serine dehydratases,Not detected or Low or Low,Medium or Low or High,"FALSE, FALSE, TRUE","3.7304, 1.1551, 8.1111"
R_GHMT2rm,glycine hydroxymethyltransferase,GHMT2rm,2.1.2.1,Serine and glycine biosynthesis,"Tetrahydrofolate + L-Serine --> 5,10-Methylenetetrahydrofolate + Glycine + H2O",M_thf_m + M_ser_L_m --> M_h2o_m + M_gly_m + M_mlthf_m,-1000.0,1000.0,-0.026,GHMT2rm,thf[m] + ser_L[m] --> h2o[m] + gly[m] + mlthf[m],R00945,SHMT2,ENSG00000182199,HGNC:10852,serine hydroxymethyltransferase 2 (mitochondrial),Medium,Not detected,True,15.6448
R_GCCam,glycine dehydrogenase (aminomethyl-transferring),GCCam,1.4.4.2,Glycine cleavage system (GCS),Glycine + Lipoylprotein --> S-Aminomethyldihydrolipoylprotein + CO2,M_h_m + M_gly_m + M_lpro_m --> M_co2_m + M_alpro_m,-1000.0,1000.0,0.026,GCCam,h[m] + gly[m] + lpro[m] --> co2[m] + alpro[m],R03425,GLDC,ENSG00000178445,HGNC:4313,glycine dehydrogenase (decarboxylating),Not detected,Not detected,True,20.0566
R_GCCbim,aminomethyltransferase,GCCbim,2.1.2.10,Glycine cleavage system (GCS),"S-Aminomethyldihydrolipoylprotein + Tetrahydrofolate --> Dihydrolipoylprotein + 5,10-Methylenetetrahydrofolate + Ammonia",M_thf_m + M_alpro_m --> M_nh4_m + M_mlthf_m + M_dhlpro_m,-1000.0,1000.0,0.026,GCCbim,thf[m] + alpro[m] -> nh4[m] + mlthf[m] + dhlpro[m],R04125,AMT,ENSG00000145020,HGNC:473,aminomethyltransferase,Low,High,True,13.9633
R_GCCcm,dihydrolipoyl dehydrogenase,GCCcm,1.8.1.4,Glycine cleavage system (GCS),Dihydrolipoylprotein + NAD+ --> Lipoylprotein + NADH + H+,M_nad_m + M_dhlpro_m --> M_h_m + M_nadh_m + M_lpro_m,-1000.0,1000.0,0.026,GCCcm,nad[m] + dhlpro[m] --> h[m] + nadh[m] + lpro[m],R03815,DLD,ENSG00000091140,HGNC:2898,dihydrolipoamide dehydrogenase,High,High,True,31.2307
R_r0514,,r0514,1.5.1.3,Folate mitochondrial,Folate + NADPH + H+ --> Dihydrofolate + NADP+,M_nadph_m + M_fol_m --> M_nadp_m + M_dhf_m,-1000.0,1000.0,0.0,r0514,nadph[m] + fol[m] -> nadp[m] + dhf[m],R02236,DHFRL1,ENSG00000178700,HGNC:27309,dihydrofolate reductase,Low,High,False,-1.9119
R_r0226,,r0226,1.5.1.3,Folate mitochondrial,Dihydrofolate + NADPH + H+ --> Tetrahydrofolate + NADP+,M_h_m + M_nadph_m + M_dhf_m --> M_nadp_m + M_thf_m,-1000.0,1000.0,0.0,r0226,h[m] + nadph[m] + dhf[m] -> nadp[m] + thf[m],R00939,DHFRL1,ENSG00000178700,HGNC:27309,dihydrofolate reductase,Low,High,False,-1.9119
R_MTHFDm,methylenetetrahydrofolate dehydrogenase (NADP+),MTHFDm,1.5.1.5,Folate mitochondrial,"5,10-Methylenetetrahydrofolate + NADP+ --> 5,10-Methenyltetrahydrofolate + NADPH",M_nadp_m + M_mlthf_m --> M_nadph_m + M_methf_m,-1000.0,0.0,0.0,MTHFDm,nadp[m] + mlthf[m] --> nadph[m] + methf[m],R01220,MTHFD2L,ENSG00000163738,HGNC:31865,methylenetetrahydrofolate dehydrogenase,Low,High,True,13.7285
